Source,Type,Target,Weight
Бес,Undirected,Вещежонка,1
Бес,Undirected,Ворон,1
Бес,Undirected,Вселенничи,1
Бес,Undirected,Древолюд,1
Бес,Undirected,Заяц,1
Бес,Undirected,Липовый парень,1
Бес,Undirected,Липяное бывьмо,1
Бес,Undirected,Мамки,1
Бес,Undirected,Молодой рабочий,1
Бес,Undirected,Молчащие сестры,1
Бес,Undirected,Морозный тятька,1
Бес,Undirected,Некий глас,1
Бес,Undirected,Немини,1
Бес,Undirected,Няня-леший,1
Бес,Undirected,Рында,1
Бес,Undirected,Сказчич-Морочич,1
Бес,Undirected,Слепини,1
Бес,Undirected,Смехини,1
Бес,Undirected,Снегомужье,1
Бес,Undirected,Снегун,1
Бес,Undirected,Снегчие,1
Бес,Undirected,Снежак,1
Бес,Undirected,Снежачиха,1
Бес,Undirected,Снежные мамки,1
Бес,Undirected,Снезини,1
Бес,Undirected,Старушка-докладчица,1
Бесеныш,Undirected,Бесок,1
Бесеныш,Undirected,Вещежонка,1
Бесеныш,Undirected,Ворон,1
Бесеныш,Undirected,Вселенничи,1
Бесеныш,Undirected,Древолюд,1
Бесеныш,Undirected,Заяц,1
Бесеныш,Undirected,Липовый парень,1
Бесеныш,Undirected,Липяное бывьмо,1
Бесеныш,Undirected,Мамки,1
Бесеныш,Undirected,Молодой рабочий,1
Бесеныш,Undirected,Молчащие сестры,1
Бесеныш,Undirected,Морозный тятька,1
Бесеныш,Undirected,Некий глас,1
Бесеныш,Undirected,Немини,1
Бесеныш,Undirected,Няня-леший,1
Бесеныш,Undirected,Рында,1
Бесеныш,Undirected,Сказчич-Морочич,1
Бесеныш,Undirected,Слепини,1
Бесеныш,Undirected,Смехини,1
Бесеныш,Undirected,Снегомужье,1
Бесеныш,Undirected,Снегун,1
Бесеныш,Undirected,Снегчие,1
Бесеныш,Undirected,Снежак,1
Бесеныш,Undirected,Снежачиха,1
Бесеныш,Undirected,Снежные мамки,1
Бесеныш,Undirected,Снезини,1
Бесеныш,Undirected,Старушка-докладчица,1
Бесок,Undirected,Вещежонка,1
Бесок,Undirected,Ворон,1
Бесок,Undirected,Вселенничи,1
Бесок,Undirected,Древолюд,1
Бесок,Undirected,Заяц,1
Бесок,Undirected,Липовый парень,1
Бесок,Undirected,Липяное бывьмо,1
Бесок,Undirected,Мамки,1
Бесок,Undirected,Молодой рабочий,1
Бесок,Undirected,Молчащие сестры,1
Бесок,Undirected,Морозный тятька,1
Бесок,Undirected,Некий глас,1
Бесок,Undirected,Немини,1
Бесок,Undirected,Няня-леший,1
Бесок,Undirected,Рында,1
Бесок,Undirected,Сказчич-Морочич,1
Бесок,Undirected,Слепини,1
Бесок,Undirected,Смехини,1
Бесок,Undirected,Снегомужье,1
Бесок,Undirected,Снегун,1
Бесок,Undirected,Снегчие,1
Бесок,Undirected,Снежак,1
Бесок,Undirected,Снежачиха,1
Бесок,Undirected,Снежные мамки,1
Бесок,Undirected,Снезини,1
Бесок,Undirected,Старушка-докладчица,1
Вещежонка,Undirected,Ворон,1
Вещежонка,Undirected,Вселенничи,1
Вещежонка,Undirected,Древолюд,1
Вещежонка,Undirected,Заяц,1
Вещежонка,Undirected,Липовый парень,1
